first,orphan,fastTrack,breakthrough,priority,accelerated,initClinicalStudy,nctDate,therapeuticClass,substanceClass,moleculeType,name,ingredients,dateString,use,disease,modeOfAction,innovation,bla,press,trials,unii,pharmacology,target
,,,,,,2011,7/1/12,Neurology,chemical,small molecule,Ubrelvy,ubrogepant,12/23/2019,to treat acute treatment of migraine with or without aura in adults,migraine,calcitonin gene-related peptide receptor antagonist,first oral CGPR antagonist,211765,https://www.fda.gov/news-events/press-announcements/fda-approves-new-treatment-adults-migraine,,AD0O8X2QJR,antagonist,calcitonin gene-related peptide receptor (CGPR)
,,1,1,,1,2015,8/1/15,Oncology,protein,antibody,Enhertu,trastuzumab deruxtecan,12/20/2019,Metastatic breast cancer,metastatic breast cancer,human epidermal growth factor receptor 2 (HER2)-directed antibody and topoisomerase inhibitor conjugate,,761139,https://www.fda.gov/news-events/press-announcements/fda-approves-new-treatment-option-patients-her2-positive-breast-cancer-who-have-progressed-available,,5384HK7574,Inhibitor,topoisomerase
,,,,,,2011,10/1/11,Neurology,chemical,small molecule,Dayvigo,lemborexant,12/20/2019,Insomnia,insomnia,orexin receptors OX1R and OX2R antagonist,,212028,,,0K5743G68X,Antagonist,orexin receptors OX1R and OX2R
,,,,,,2007,12/1/07,Neurology,chemical,small molecule,Caplyta,lumateperone tosylate,12/20/2019,Schizophrenia,schizophrenia,"complex action via serotonin, dopamine and glutamate",,209500,,,JIE88N006O,Antagonist,5-HT2a and D2 receptors
,,,,1,,2011,11/1/11,Opthamology,chemical,small molecule,TissueBlue,brilliant blue G,12/20/2019,Dye used in eye surgery,eye surgery dye,stains the anterior Lens capsule,,209569,,,M1ZRX790SI,Binding agent,anterior Lens capsule
,,,1,1,1,2011,6/1/11,Oncology,protein,antibody,Padcev,enfortumab vedotin,12/18/2019,To treat refractory bladder cancer,refractory bladder cancer,Nectin-4-directed antibody and microtubule inhibitor conjugate,,761137,https://www.fda.gov/news-events/press-announcements/fda-approves-new-type-therapy-treat-advanced-urothelial-cancer,,DLE8519RWM,Cytotoxic,microtubules
1,1,1,,1,1,2015,1/13/15,Neurology,oligonucleotide,antisense oligo,Vyondys 53,golodirsen,12/12/2019,To treat certain patients with Duchenne muscular dystrophy,Duchenne muscular dystrophy,Dystrophin exon 53 skipping,,211970,https://www.fda.gov/news-events/press-announcements/fda-grants-accelerated-approval-first-targeted-treatment-rare-duchenne-muscular-dystrophy-mutation,,033072U4MZ,Antisense oligonucleotide,dystrophin gene translation
1,1,1,,1,1,2014,12/1/14,Hematology,chemical,small molecule,Oxbryta,voxelotor,11/25/2019,To treat sickle cell disease,sickle cell disease,inhibitor of deoxygenated sickle hemoglobin polymerization,,213137,https://www.fda.gov/news-events/press-announcements/fda-approves-novel-treatment-target-abnormality-sickle-cell-disease,,3ZO554A4Q8,Modulator,hemoglobin oxygen-affinity
1,,,,,,2005,8/1/05,Neurology,chemical,small molecule,Xcopri,cenobamate,11/21/2019,To treat partial onset seizures,partial onset seizures,voltage-gated sodium channel (VGSC) blocker,,212839,https://www.fda.gov/news-events/press-announcements/fda-approves-new-treatment-adults-partial-onset-seizures,,P85X70RZWS,Blocker,voltage-gated sodium channels
1,1,,1,1,,2015,5/6/15,Hematology,oligonucleotide,siRNA,Givlaari,givosiran,11/20/2019,To treat acute hepatic porphyria (a rare blood disorder),acute hepatic porphyria,RNAi therapeutic targeting aminolevulinic acid synthase 1 (ALAS1); treatment is expected to lower induced liver ALAS1 levels and decrease these intermediates.,second-ever RNA interference drug,212194,https://www.fda.gov/news-events/press-announcements/fda-approves-first-treatment-inherited-rare-disease,,ROV204583W,Suppressor (RNA interference),aminolevulinic acid synthase 1 (ALAS1)
